"AssetTag","Name","Model","WarrantyExpires","Status","DaysRemaining","PurchaseDate","PurchaseCost"
"193","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"2436","","Dell Chromebook 3110","N/A","No Warranty Data",,"N/A","400.00"
"2507","","Dell Chromebook 3110","N/A","No Warranty Data",,"N/A","400.00"
"2301","","Dell Chromebook 3110","N/A","No Warranty Data",,"N/A","400.00"
"1982","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"2164","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"2621","","Dell Chromebook 3110","N/A","No Warranty Data",,"N/A","400.00"
"56","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"2608","","Dell Chromebook 3110","N/A","No Warranty Data",,"N/A","400.00"
"539","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"1sw1ep","","Lenovo 14e Chromebook, Lenovo Chromebook S345-14","N/A","No Warranty Data",,"N/A","400.00"
"1sxddp","","Lenovo 14e Chromebook, Lenovo Chromebook S345-14","N/A","No Warranty Data",,"N/A","400.00"
"1914","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"HP-154-5CD112017M","","Chromebook 14 G6","N/A","No Warranty Data",,"N/A","400.00"
"1sw68l","","Lenovo 14e Chromebook, Lenovo Chromebook S345-14","N/A","No Warranty Data",,"N/A","400.00"
"1452","","Lenovo 14e Chromebook, Lenovo Chromebook S345-14","N/A","No Warranty Data",,"N/A","400.00"
"1186","","Chromebook 14 G6","N/A","No Warranty Data",,"N/A","400.00"
"1565","","Lenovo 14e Chromebook, Lenovo Chromebook S345-14","N/A","No Warranty Data",,"N/A","400.00"
"1990","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"1237","","Lenovo 14e Chromebook, Lenovo Chromebook S345-14","N/A","No Warranty Data",,"N/A","400.00"
"1467","","Lenovo 14e Chromebook, Lenovo Chromebook S345-14","N/A","No Warranty Data",,"N/A","400.00"
"1sw1el","","Lenovo 14e Chromebook, Lenovo Chromebook S345-14","N/A","No Warranty Data",,"N/A","400.00"
"1026","","Chromebook 14 G6","N/A","No Warranty Data",,"N/A","400.00"
"389","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"CB-661-DNTB6Y2","","Dell Chromebook 3400","N/A","No Warranty Data",,"N/A","400.00"
"973","","Dell Chromebook 3400","N/A","No Warranty Data",,"N/A","400.00"
"1582","","Dell Chromebook 3400","N/A","No Warranty Data",,"N/A","400.00"
"231","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"960","","Dell Chromebook 3400","N/A","No Warranty Data",,"N/A","400.00"
"10","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"2309","","Dell Chromebook 3110","N/A","No Warranty Data",,"N/A","400.00"
"1304","","Chromebook 14 G6","N/A","No Warranty Data",,"N/A","400.00"
"510","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"179","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"1739","","Dell Chromebook 3400","N/A","No Warranty Data",,"N/A","400.00"
"2636","","Dell Chromebook 3110","N/A","No Warranty Data",,"N/A","400.00"
"1861","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"2022","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"1041","","Chromebook 14 G6","N/A","No Warranty Data",,"N/A","400.00"
"2647","","Dell Chromebook 3110","N/A","No Warranty Data",,"N/A","400.00"
"458","","Chromebook 14 G6","N/A","No Warranty Data",,"N/A","400.00"
"2106","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"CB-841-BDFZ4Y2","","Dell Chromebook 3400","N/A","No Warranty Data",,"N/A","400.00"
"2057","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"1sw2dn","","Lenovo 14e Chromebook, Lenovo Chromebook S345-14","N/A","No Warranty Data",,"N/A","400.00"
"1461","","Lenovo 14e Chromebook, Lenovo Chromebook S345-14","N/A","No Warranty Data",,"N/A","400.00"
